id,category,dataset,publisher,link,api,api_docs,format,licence,coverage,update_frequency,questions
police-street-crime,Crime,"Street-level crime, outcomes and stop & search",Home Office / UK police forces (data.police.uk),https://data.police.uk/,https://data.police.uk/api/crimes-street/all-crime?lat={lat}&lng={lng}&date={YYYY-MM},https://data.police.uk/docs/,JSON REST API (no key required); CSV bulk downloads,Open Government Licence v3,"England, Wales & Northern Ireland",Monthly,"How safe is this postcode / street compared with the borough or national average? | What are the most common offence types here (burglary, ASB, drugs, vehicle crime)? | Is crime trending up or down over the last 12-36 months? | Where are the local crime hotspots and what happened to each case (outcomes)?"
ons-census-2021,Demographics,"Census 2021 (ethnicity, religion, age, household composition, tenure, occupation, qualifications)",Office for National Statistics,https://www.ons.gov.uk/census,https://api.beta.ons.gov.uk/v1/population-types (Create a Custom Dataset API),https://developer.ons.gov.uk/censusobservations/,JSON REST API; also Nomis API (https://www.nomisweb.co.uk/api/v01/help) and CSV bulk,Open Government Licence v3,"England & Wales, down to Output Area (~125 households)","Decennial (2021), with mid-year population estimates annually","Who lives in this area - age profile, ethnic groups, religions, languages? | What household types dominate (families, singles, sharers)? | Do residents own or rent, and from whom (social vs private)? | What share of residents are degree-educated or in professional occupations?"
area-classification,Demographics / Overview,Output Area Classification (OAC 2021) & London Output Area Classification (LOAC) - geodemographic 'pen portraits' such as 'European Enclaves',ONS / Greater London Authority (London Datastore),https://data.london.gov.uk/dataset/london-area-classification,https://data.london.gov.uk/api/action/package_show?id=london-area-classification (CKAN API),https://data.london.gov.uk/about/api/,CSV / GeoPackage via CKAN API,Open Government Licence v3,UK (OAC); Greater London (LOAC),Per census,"What 'type' of neighbourhood is this (e.g. cosmopolitan, suburban family, student area)? | Which other areas in the city are demographically similar?"
ons-income,Affluence,Small area model-based income estimates (MSOA) + approximated social grade & qualifications (Census tables TS062/TS067),Office for National Statistics,https://www.ons.gov.uk/employmentandlabourmarket/peopleinwork/earningsandworkinghours/datasets/smallareaincomeestimatesformiddlelayersuperoutputareasenglandandwales,https://www.nomisweb.co.uk/api/v01/dataset/def.sdmx.json (Nomis API for census/labour tables),https://www.nomisweb.co.uk/api/v01/help,XLSX/CSV download; JSON/SDMX via Nomis API,Open Government Licence v3,England & Wales (MSOA level),Roughly every 2 years (income); per census (social grade),What is the typical household income here vs the national distribution? | Is this a 'wealthy' or modest-income neighbourhood? | What social grades (AB/C1/C2/DE) dominate?
imd,Affluence (Deprivation),English Indices of Multiple Deprivation (IMD 2019),"MHCLG (Ministry of Housing, Communities & Local Government)",https://www.gov.uk/government/statistics/english-indices-of-deprivation-2019,https://opendatacommunities.org/sparql (SPARQL endpoint; IMD as linked data),https://opendatacommunities.org/data,CSV/XLSX download; SPARQL / linked-data API,Open Government Licence v3,"England (LSOA level); separate indices for Wales, Scotland, NI",~Every 4-5 years,"How deprived is this LSOA relative to all of England (decile 1-10)? | Which deprivation domains drive it - income, employment, education, health, crime, housing, environment?"
land-registry-ppd,Property prices,Price Paid Data (every residential sale) + UK House Price Index,HM Land Registry,https://www.gov.uk/government/collections/price-paid-data,https://landregistry.data.gov.uk/landregistry/query (SPARQL); linked-data REST at https://landregistry.data.gov.uk/,https://landregistry.data.gov.uk/app/root/doc,SPARQL / RDF / JSON; monthly CSV bulk; UKHPI at https://landregistry.data.gov.uk/app/ukhpi,Open Government Licence v3 (address fields have extra conditions),"England & Wales, transaction level since 1995",Monthly,"What did properties on this street actually sell for, and when? | How have local prices trended vs borough / national HPI? | What is the price premium of one postcode over a neighbouring one?"
ons-rents,Property prices (Rents),Price Index of Private Rents & private rental market summary statistics,Office for National Statistics / Valuation Office Agency,https://www.ons.gov.uk/economy/inflationandpriceindices/bulletins/privaterentandhousepricesuk/latest,https://api.beta.ons.gov.uk/v1/datasets (ONS datasets API),https://developer.ons.gov.uk/,CSV/XLSX; JSON via ONS API,Open Government Licence v3,"UK, down to local authority",Monthly (index); annual (summary stats),What is a typical rent for a 1/2/3-bed here? | How fast are rents rising in this borough?
defra-noise,Noise,"Strategic noise mapping Round 4 (2022) - road, rail and airport noise contours (Lden/Lnight)",Defra / Environment Agency (Data Services Platform),https://www.gov.uk/government/publications/strategic-noise-mapping-2022,"https://environment.data.gov.uk/dataset/562c9d56-7c2d-4d42-83bb-578d6e97a517 (Road Noise, WMS/WFS + SHP); airports: https://environment.data.gov.uk/dataset/dac9cba4-abe7-43bd-b8e9-8a83da52edd8",https://environment.data.gov.uk/,OGC WMS/WFS services; Shapefile/GeoJSON downloads,Open Government Licence v3,England agglomerations & major roads/rail/airports,Every 5 years (EU Environmental Noise Directive rounds),How loud is road / rail / aircraft noise at this address (day and night)? | Is the property inside an airport noise contour?
naptan,Transport,"NaPTAN - national register of all public transport access nodes (rail, tube, tram, bus stops)",Department for Transport,https://beta-naptan.dft.gov.uk/,https://naptan.api.dft.gov.uk/v1/access-nodes?dataFormat=csv,https://www.api.gov.uk/dft/national-public-transport-access-nodes-naptan-and-national-public-transport-gazetteer-nptg-api/,CSV / XML REST API (no key),Open Government Licence v3,Great Britain (~400k stops),Continuously (daily extracts),Which stations and stops are within walking distance of this postcode? | How many distinct transport modes serve the area?
tfl-api,Transport (London),"TfL Unified API - stations, lines, live status/performance, fare zones, journey planning",Transport for London,https://tfl.gov.uk/info-for/open-data-users/,"https://api.tfl.gov.uk/ (e.g. /StopPoint?lat=&lon=&stopTypes=NaptanMetroStation, /Line/{id}/Status)",https://api-portal.tfl.gov.uk/,JSON REST API (free key for higher rate limits),TfL open data licence (free),Greater London,Real-time / continuous,"Which travel zone is this postcode in and which lines serve it? | How reliable is each Underground line (delays, closures)? | How long is the commute to central London from here?"
